Tanggal|KODE EFEK|Nama Saham|HC MKBD|Keterangan
20260331|BJBR|BANK JABAR BANTEN Tbk|20|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BJTM|BANK PEMBANGUNAN DAERAH JAWA TIMUR Tbk|10|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BKDP|BUKIT DARMO PROPERTY Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BKSL|SENTUL CITY Tbk|50|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BKSW|BANK QNB INDONESIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BLTA|BERLIAN LAJU TANKER Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BLTZ|GRAHA LAYAR PRIMA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BLUE|BERKAH PRIMA PERKASA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BMAS|BANK MASPION INDONESIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BMRI|BANK MANDIRI ( PERSERO ) Tbk|10|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BMSR|BINTANG MITRA SEMESTARAYA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BMTR|GLOBAL MEDIACOM Tbk|25|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BNBA|BANK BUMI ARTA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BNBR|BAKRIE AND BROTHERS Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BNGA|BANK CIMB NIAGA Tbk|20|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BNII|BANK MAYBANK INDONESIA Tbk|55|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BNLI|BANK PERMATA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BOGA|BINTANG OTO GLOBAL Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BOLA|BALI BINTANG SEJAHTERA Tbk|55|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BOLT|GARUDA METALINDO Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BOSS|BORNEO OLAH SARANA SUKSES Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BPFI|WOORI FINANCE INDONESIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BPII|BATAVIA PROSPERINDO INTERNASIONAL Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BPTR|BATAVIA PROSPERINDO TRANS Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BRAM|INDO KORDSA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BRIS|BANK SYARIAH INDONESIA Tbk|25|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BRMS|BUMI RESOURCES MINERALS Tbk|25|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BRNA|BERLINA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BRPT|BARITO PACIFIC Tbk|45|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BSDE|BUMI SERPONG DAMAI Tbk|20|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BSIM|BANK SINAR MAS Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BSSR|BARAMULTI SUKSESSARANA Tbk|30|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BSWD|BANK OF INDIA INDONESIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BTEK|BUMI TEKNOKULTURA UNGGUL Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BTEL|BAKRIE TELECOM Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BTON|BETONJAYA MANUNGGAL Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BTPN|BANK SMBC INDONESIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BTPS|BANK BTPN SYARIAH Tbk|20|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BUDI|BUDI STARCH DAN SWEETENER Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BUKK|BUKAKA TEKNIK UTAMA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BULL|BUANA LINTAS LAUTAN Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BUMI|BUMI RESOURCES Tbk|45|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BUVA|BUKIT ULUWATU VILLA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BVIC|BANK VICTORIA INTERNATIONAL  Tbk|45|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BWPT|EAGLE HIGH PLANTATIONS|45|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|BYAN|BAYAN RESOURCES Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CAKK|CAHAYAPUTRA ASA KERAMIK Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CAMP|CAMPINA ICE CREAM INDUSTRY Tbk|45|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CANI|CAPITOL NUSANTARA INDONESIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CARE|METRO HEALTHCARE INDONESIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CARS|INDUSTRI DAN PERDAGANGAN BINTRACO DHARMA Tbk|45|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CASA|CAPITAL FINANCIAL INDONESIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CASH|CASHLEZ WORLDWIDE INDONESIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CASS|CARDIG AERO SERVICES Tbk|40|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CBMF|CAHAYA BINTANG MEDAN Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CCSI|COMMUNICATION CABLE SYSTEMS INDONESIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CEKA|WILMAR CAHAYA INDONESIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CENT|CENTRATAMA TELEKOMUNIKASI INDONESIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CFIN|CLIPAN FINANCE INDONESIA Tbk|25|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CINT|CHITOSE INTERNASIONAL Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CITA|CITA MINERAL INVESTINDO Tbk|45|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CITY|NATURA CITY DEVELOPMENTS Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CLAY|CITRA PUTRA REALTY Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CLEO|SARIGUNA PRIMATIRTA Tbk|20|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CLPI|COLORPAK INDONESIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CMNP|CITRA MARGA NUSAPHALA PERSADA Tbk|55|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CMPP|AIRASIA INDONESIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CNKO|EXPLOITASI ENERGI INDONESIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CNTB|CENTEX Tbk SERI B COMPANY LISTING|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CNTX|CENTEX Tbk SERI A PREFEREN|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|COCO|WAHANA INTERFOOD NUSANTARA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|COWL|COWELL DEVELOPMENT Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CPIN|CHAROEN POKPHAND INDONESIA Tbk|20|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CPRI|CAPRI NUSA SATU PROPERTI Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CPRO|CENTRAL PROTEINAPRIMA Tbk|55|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CSAP|CATUR SENTOSA ADIPRANA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CSIS|CAHAYASAKTI INVESTINDO SUKSES Tbk|55|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CSMI|CIPTA SELERA MURNI Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CSRA|CISADANE SAWIT RAYA Tbk|45|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CTBN|CITRA TUBINDO Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CTRA|CIPUTRA DEVELOPMENT Tbk|20|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|CTTH|CITATAH  Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|DADA|DIAMOND CITRA PROPERTINDO Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|DART|DUTA ANGGADA REALTY Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|DAYA|DUTA INTIDAYA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|DEAL|DEWATA FREIGHTINTERNATIONAL Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|DEFI|DANASUPRA ERAPACIFIC Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|DEWA|DARMA HENWA Tbk|35|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|DFAM|DAFAM PROPERTY INDONESIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|DGIK|NUSA KONSTRUKSI ENJINIRING Tbk|35|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|DIGI|ARKADIA DIGITAL MEDIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|DILD|INTILAND DEVELOPMENT Tbk|30|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|DIVA|DISTRIBUSI VOUCHER NUSANTARA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|DKFT|CENTRAL OMEGA RESOURCES Tbk|35|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|DLTA|DELTA DJAKARTA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|DMAS|PURADELTA LESTARI Tbk|20|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|DMMX|DIGITAL MEDIATAMA MAXIMA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|DMND|DIAMOND FOOD INDONESIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|DNAR|BANK OKE INDONESIA Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|DNET|INDORITEL MAKMUR INTERNASIONAL Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|DOID|BUMA INTERNASIONAL GRUP Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|DPNS|DUTA PERTIWI NUSANTARA|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
20260331|DPUM|DUA PUTRA UTAMA MAKMUR Tbk|85|PENG-0156/KOMITE HC/KPEI/0326 tgl. 30 Maret 2026
